"","month_year","year","month","season","position","Probability_Threshold","n_days"
"75",2014-04-01,2014,4,"critical","ROB","Low",0
"76",2015-04-01,2015,4,"critical","LOB","Low",0
"77",2015-04-01,2015,4,"critical","MC","Low",0
"78",2015-04-01,2015,4,"critical","ROB","Low",0
"79",2016-04-01,2016,4,"critical","LOB","Low",0
"80",2016-04-01,2016,4,"critical","MC","Low",0
"81",2016-04-01,2016,4,"critical","ROB","Low",0
"82",2017-04-01,2017,4,"critical","LOB","Low",0
"83",2017-04-01,2017,4,"critical","MC","Low",0
"84",2017-04-01,2017,4,"critical","ROB","Low",0
"85",2011-05-01,2011,5,"critical","LOB","Low",0
"86",2011-05-01,2011,5,"critical","MC","Low",0
"87",2011-05-01,2011,5,"critical","ROB","Low",0
"88",2012-05-01,2012,5,"critical","LOB","Low",0
"89",2012-05-01,2012,5,"critical","MC","Low",0
"90",2012-05-01,2012,5,"critical","ROB","Low",0
"91",2013-05-01,2013,5,"critical","LOB","Low",0
"92",2013-05-01,2013,5,"critical","MC","Low",0
"93",2013-05-01,2013,5,"critical","ROB","Low",0
"94",2014-05-01,2014,5,"critical","LOB","Low",0
"95",2014-05-01,2014,5,"critical","MC","Low",0
"96",2014-05-01,2014,5,"critical","ROB","Low",0
"97",2015-05-01,2015,5,"critical","LOB","Low",0
"98",2015-05-01,2015,5,"critical","MC","Low",0
"99",2015-05-01,2015,5,"critical","ROB","Low",0
"100",2016-05-01,2016,5,"critical","LOB","Low",0
"101",2016-05-01,2016,5,"critical","MC","Low",0
"102",2016-05-01,2016,5,"critical","ROB","Low",0
"103",2017-05-01,2017,5,"critical","LOB","Low",0
"104",2017-05-01,2017,5,"critical","MC","Low",0
"105",2017-05-01,2017,5,"critical","ROB","Low",0
"106",2011-06-01,2011,6,"critical","LOB","Low",0
"107",2011-06-01,2011,6,"critical","MC","Low",0
"108",2011-06-01,2011,6,"critical","ROB","Low",0
"109",2012-06-01,2012,6,"critical","LOB","Low",0
"110",2012-06-01,2012,6,"critical","MC","Low",0
