"","month_year","year","month","season","position","Probability_Threshold","n_days"
"97",2016-02-01,2016,2,"non_critical","MC","Medium",32
"98",2017-02-01,2017,2,"non_critical","MC","Medium",4
"99",2011-03-01,2011,3,"non_critical","MC","Medium",1
"100",2012-03-01,2012,3,"non_critical","MC","Medium",12
"101",2013-03-01,2013,3,"non_critical","MC","Medium",35
"102",2014-03-01,2014,3,"non_critical","MC","Medium",34
"103",2015-03-01,2015,3,"non_critical","MC","Medium",29
"104",2016-03-01,2016,3,"non_critical","MC","Medium",36
"105",2017-03-01,2017,3,"non_critical","MC","Medium",20
"106",2011-04-01,2011,4,"critical","MC","Medium",9
"107",2012-04-01,2012,4,"critical","MC","Medium",25
"108",2013-04-01,2013,4,"critical","MC","Medium",37
"109",2014-04-01,2014,4,"critical","MC","Medium",52
"110",2015-04-01,2015,4,"critical","MC","Medium",35
"111",2016-04-01,2016,4,"critical","MC","Medium",35
"112",2017-04-01,2017,4,"critical","MC","Medium",33
"113",2011-05-01,2011,5,"critical","MC","Medium",32
"114",2012-05-01,2012,5,"critical","MC","Medium",28
"115",2013-05-01,2013,5,"critical","MC","Medium",48
"116",2014-05-01,2014,5,"critical","MC","Medium",40
"117",2015-05-01,2015,5,"critical","MC","Medium",35
"118",2016-05-01,2016,5,"critical","MC","Medium",44
"119",2017-05-01,2017,5,"critical","MC","Medium",37
"120",2011-06-01,2011,6,"critical","MC","Medium",28
"121",2012-06-01,2012,6,"critical","MC","Medium",45
"122",2013-06-01,2013,6,"critical","MC","Medium",42
"123",2014-06-01,2014,6,"critical","MC","Medium",30
"124",2015-06-01,2015,6,"critical","MC","Medium",36
"125",2016-06-01,2016,6,"critical","MC","Medium",48
"126",2017-06-01,2017,6,"critical","MC","Medium",31
"127",2011-07-01,2011,7,"critical","MC","Medium",58
"128",2012-07-01,2012,7,"critical","MC","Medium",43
"129",2013-07-01,2013,7,"critical","MC","Medium",50
"130",2014-07-01,2014,7,"critical","MC","Medium",32
"131",2015-07-01,2015,7,"critical","MC","Medium",45
"132",2016-07-01,2016,7,"critical","MC","Medium",42
"133",2017-07-01,2017,7,"critical","MC","Medium",32
"134",2011-08-01,2011,8,"critical","MC","Medium",63
"135",2012-08-01,2012,8,"critical","MC","Medium",37
"136",2013-08-01,2013,8,"critical","MC","Medium",42
"137",2014-08-01,2014,8,"critical","MC","Medium",32
"138",2015-08-01,2015,8,"critical","MC","Medium",46
"139",2016-08-01,2016,8,"critical","MC","Medium",49
"140",2017-08-01,2017,8,"critical","MC","Medium",31
"141",2011-09-01,2011,9,"critical","MC","Medium",55
"142",2012-09-01,2012,9,"critical","MC","Medium",30
"143",2013-09-01,2013,9,"critical","MC","Medium",38
"144",2014-09-01,2014,9,"critical","MC","Medium",37
"145",2015-09-01,2015,9,"critical","MC","Medium",48
"146",2016-09-01,2016,9,"critical","MC","Medium",31
"147",2017-09-01,2017,9,"critical","MC","Medium",33
"148",2010-10-01,2010,10,"non_critical","MC","Medium",19
"149",2011-10-01,2011,10,"non_critical","MC","Medium",26
"150",2012-10-01,2012,10,"non_critical","MC","Medium",43
"151",2013-10-01,2013,10,"non_critical","MC","Medium",15
"152",2014-10-01,2014,10,"non_critical","MC","Medium",40
"153",2015-10-01,2015,10,"non_critical","MC","Medium",32
"154",2016-10-01,2016,10,"non_critical","MC","Medium",45
"155",2010-11-01,2010,11,"non_critical","MC","Medium",12
"156",2011-11-01,2011,11,"non_critical","MC","Medium",0
"157",2012-11-01,2012,11,"non_critical","MC","Medium",20
"158",2013-11-01,2013,11,"non_critical","MC","Medium",32
"159",2014-11-01,2014,11,"non_critical","MC","Medium",56
"160",2015-11-01,2015,11,"non_critical","MC","Medium",43
"161",2016-11-01,2016,11,"non_critical","MC","Medium",16
"162",2010-12-01,2010,12,"non_critical","MC","Medium",0
"163",2011-12-01,2011,12,"non_critical","MC","Medium",7
"164",2012-12-01,2012,12,"non_critical","MC","Medium",3
"165",2013-12-01,2013,12,"non_critical","MC","Medium",47
"166",2014-12-01,2014,12,"non_critical","MC","Medium",29
"167",2015-12-01,2015,12,"non_critical","MC","Medium",34
"168",2016-12-01,2016,12,"non_critical","MC","Medium",46
"169",2011-01-01,2011,1,"non_critical","MC","High",0
"170",2012-01-01,2012,1,"non_critical","MC","High",0
"171",2013-01-01,2013,1,"non_critical","MC","High",0
"172",2014-01-01,2014,1,"non_critical","MC","High",0
"173",2015-01-01,2015,1,"non_critical","MC","High",0
"174",2016-01-01,2016,1,"non_critical","MC","High",0
"175",2017-01-01,2017,1,"non_critical","MC","High",0
"176",2011-02-01,2011,2,"non_critical","MC","High",0
"177",2012-02-01,2012,2,"non_critical","MC","High",0
"178",2013-02-01,2013,2,"non_critical","MC","High",0
"179",2014-02-01,2014,2,"non_critical","MC","High",0
"180",2015-02-01,2015,2,"non_critical","MC","High",0
"181",2016-02-01,2016,2,"non_critical","MC","High",0
"182",2017-02-01,2017,2,"non_critical","MC","High",0
"183",2011-03-01,2011,3,"non_critical","MC","High",0
"184",2012-03-01,2012,3,"non_critical","MC","High",0
"185",2013-03-01,2013,3,"non_critical","MC","High",0
"186",2014-03-01,2014,3,"non_critical","MC","High",0
"187",2015-03-01,2015,3,"non_critical","MC","High",0
"188",2016-03-01,2016,3,"non_critical","MC","High",0
"189",2017-03-01,2017,3,"non_critical","MC","High",0
"190",2011-04-01,2011,4,"critical","MC","High",0
"191",2012-04-01,2012,4,"critical","MC","High",0
"192",2013-04-01,2013,4,"critical","MC","High",0
"193",2014-04-01,2014,4,"critical","MC","High",0
"194",2015-04-01,2015,4,"critical","MC","High",0
"195",2016-04-01,2016,4,"critical","MC","High",0
"196",2017-04-01,2017,4,"critical","MC","High",0
"197",2011-05-01,2011,5,"critical","MC","High",0
"198",2012-05-01,2012,5,"critical","MC","High",0
"199",2013-05-01,2013,5,"critical","MC","High",0
"200",2014-05-01,2014,5,"critical","MC","High",0
"201",2015-05-01,2015,5,"critical","MC","High",0
"202",2016-05-01,2016,5,"critical","MC","High",0
"203",2017-05-01,2017,5,"critical","MC","High",0
"204",2011-06-01,2011,6,"critical","MC","High",0
"205",2012-06-01,2012,6,"critical","MC","High",0
"206",2013-06-01,2013,6,"critical","MC","High",0
"207",2014-06-01,2014,6,"critical","MC","High",0
"208",2015-06-01,2015,6,"critical","MC","High",0
"209",2016-06-01,2016,6,"critical","MC","High",0
"210",2017-06-01,2017,6,"critical","MC","High",0
"211",2011-07-01,2011,7,"critical","MC","High",0
"212",2012-07-01,2012,7,"critical","MC","High",0
"213",2013-07-01,2013,7,"critical","MC","High",0
"214",2014-07-01,2014,7,"critical","MC","High",0
"215",2015-07-01,2015,7,"critical","MC","High",0
"216",2016-07-01,2016,7,"critical","MC","High",0
"217",2017-07-01,2017,7,"critical","MC","High",0
"218",2011-08-01,2011,8,"critical","MC","High",0
"219",2012-08-01,2012,8,"critical","MC","High",0
"220",2013-08-01,2013,8,"critical","MC","High",0
"221",2014-08-01,2014,8,"critical","MC","High",0
"222",2015-08-01,2015,8,"critical","MC","High",0
"223",2016-08-01,2016,8,"critical","MC","High",0
"224",2017-08-01,2017,8,"critical","MC","High",0
"225",2011-09-01,2011,9,"critical","MC","High",0
"226",2012-09-01,2012,9,"critical","MC","High",0
"227",2013-09-01,2013,9,"critical","MC","High",0
"228",2014-09-01,2014,9,"critical","MC","High",0
"229",2015-09-01,2015,9,"critical","MC","High",0
"230",2016-09-01,2016,9,"critical","MC","High",0
"231",2017-09-01,2017,9,"critical","MC","High",0
"232",2010-10-01,2010,10,"non_critical","MC","High",0
"233",2011-10-01,2011,10,"non_critical","MC","High",0
"234",2012-10-01,2012,10,"non_critical","MC","High",0
"235",2013-10-01,2013,10,"non_critical","MC","High",0
"236",2014-10-01,2014,10,"non_critical","MC","High",0
